, FIV (IPS Pk) , FIV (Ultrasonic G's) 
11/14/17 9:00 AM,  0.14 ,  4.74 
11/14/17 9:15 AM,  0.14 ,  4.43 
11/14/17 9:30 AM,  0.14 ,  4.94 
11/14/17 9:45 AM,  0.14 ,  4.81 
11/14/17 10:00 AM,  0.14 ,  5.18 
11/14/17 10:15 AM,  0.14 ,  5.18 
11/14/17 10:30 AM,  0.14 ,  5.18 
11/14/17 10:45 AM,  0.14 ,  5.18 
11/14/17 11:00 AM,  0.14 ,  5.18 
11/14/17 11:15 AM,  0.14 ,  5.18 
11/14/17 11:30 AM,  0.14 ,  5.18 
11/14/17 11:45 AM,  0.14 ,  5.18 
11/14/17 12:00 PM,  0.14 ,  5.18 
11/14/17 12:15 PM,  0.14 ,  5.18 
11/14/17 12:30 PM,  0.14 ,  4.24 
11/14/17 12:45 PM,  0.14 ,  4.43 
11/14/17 1:00 PM,  0.14 ,  4.74 
11/14/17 1:15 PM,  0.14 ,  4.31 
11/14/17 1:30 PM,  0.14 ,  4.45 
11/14/17 1:45 PM,  0.14 ,  4.49 
11/14/17 2:00 PM,  0.14 ,  4.60 
11/14/17 2:15 PM,  0.14 ,  4.42 
11/14/17 2:30 PM,  0.14 ,  4.25 
11/14/17 2:45 PM,  0.14 ,  4.79 
11/14/17 3:00 PM,  0.14 ,  4.40 
11/14/17 3:15 PM,  0.14 ,  4.16 
11/14/17 3:30 PM,  0.14 ,  4.73 
11/14/17 3:45 PM,  0.14 ,  4.68 
11/14/17 4:00 PM,  0.14 ,  4.28 
11/14/17 4:15 PM,  0.14 ,  4.57 
11/14/17 4:30 PM,  0.14 ,  4.54 
11/14/17 4:45 PM,  0.14 ,  4.40 
11/14/17 5:00 PM,  0.14 ,  4.38 
11/14/17 5:15 PM,  0.14 ,  4.67 
11/14/17 5:30 PM,  0.14 ,  4.95 
11/14/17 5:45 PM,  0.14 ,  4.58 
11/14/17 6:00 PM,  0.14 ,  5.44 
11/14/17 6:15 PM,  0.14 ,  4.66 
11/14/17 6:30 PM,  0.14 ,  4.33 
11/14/17 6:45 PM,  0.14 ,  4.71 
11/14/17 7:00 PM,  0.14 ,  4.61 
11/14/17 7:15 PM,  0.14 ,  4.93 
11/14/17 7:30 PM,  0.14 ,  5.20 
11/14/17 7:45 PM,  0.14 ,  5.04 
11/14/17 8:00 PM,  0.14 ,  4.57 
11/14/17 8:15 PM,  0.14 ,  4.45 
11/14/17 8:30 PM,  0.14 ,  4.77 
11/14/17 8:45 PM,  0.15 ,  4.49 
11/14/17 9:00 PM,  0.15 ,  4.48 
11/14/17 9:15 PM,  0.14 ,  4.25 
11/14/17 9:30 PM,  0.14 ,  4.35 
11/14/17 9:45 PM,  0.14 ,  4.60 
11/14/17 10:00 PM,  0.14 ,  4.17 
11/14/17 10:15 PM,  0.14 ,  4.58 
11/14/17 10:30 PM,  0.14 ,  4.11 
11/14/17 10:45 PM,  0.13 ,  4.33 
11/14/17 11:00 PM,  0.14 ,  4.43 
11/14/17 11:15 PM,  0.13 ,  4.94 
11/14/17 11:30 PM,  0.13 ,  4.12 
11/14/17 11:45 PM,  0.14 ,  4.60 
11/15/17 12:00 AM,  0.14 ,  4.45 
11/15/17 12:15 AM,  0.13 ,  4.74 
